websites,country,category,cmp,smp,,,,,,,,,,,
fussball.news,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,maz-online.de,News
fussballeuropa.com,germany,Sports,Traffective GmbH,freechoice,,,,,,,,,,medical-design.news,Real Estate
fussballfieber.de,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,meineorte.com,Leisure & Recreation
futurezone.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,menshealth.de,Health & Medicine
gabler-banklexikon.de,germany,Education,OneTrust LLC,contentpass,,,,,,,,,,meteoblue.com,News
gala.de,germany,Fashion & Beauty,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,millenium.org,Forums & Newsgroups
gala.fr,france,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,mission-additive.de,Business
gamestar.de,germany,Games,Didomi,n/a,,,,,,,,,,mittelhessen.de,News
garten-wissen.com,germany,Computers & Technology,Papoo Software & Media GmbH,contentpass,,,,,,,,,,mm-logistik.vogel.de,Business
gartendialog.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,moin.de,Computers & Technology
gartenjournal.net,germany,Personal Sites,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,mondoudinese.it,News
gartenlexikon.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,motorradfrage.net,Forums & Newsgroups
gartenteich-ratgeber.com,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,motorradonline.de,News
gastromand.dk,denmark,n/a,Didomi,n/a,,,,,,,,,,motorradundreisen.de,Transportation
gazzetta.it,italy,n/a,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,motorsport-total.com,Sports
geb-info.de,germany,Business,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,mountainbike-magazin.de,Sports
gebaeudedigital.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,moviemaze.de,Entertainment
genialetricks.de,germany,Entertainment,consentmanager.net,contentpass,,,,,,,,,,mtb-news.de,Sports
gentside.com,france,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,mummum.dk,Personal Sites
geo.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,mz-web.de,News
geo.fr,france,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,neon.de,Business
gesund-verlieben.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,neonmag.fr,Entertainment
gesundes-auge.de,germany,Health & Medicine,Traffective GmbH,freechoice,,,,,,,,,,netzwelt.de,Computers & Technology
gesundheitsfrage.net,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,neuepresse.de,News
gewinn-portal.de,germany,Shopping,Traffective GmbH,freechoice,,,,,,,,,,news38.de,News
giessener-allgemeine.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,next-mobility.de,Business
giessener-anzeiger.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,nn-online.de,News
giga.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,nn.de,Education
gladbachlive.de,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,nordbayern.de,News
glaswelt.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,nz-online.de,News
gmx.net,germany,Search Engines & Portals,1&1 Mail & Media GmbH,n/a,,,,,,,,,,oberhessische-zeitung.de,News
gnz.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,oekotest.de,Leisure & Recreation
goettinger-tageblatt.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,ohmymag.com,Leisure & Recreation
golem.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,omnibusrevue.de,Business
golfnstyle.de,germany,Computers & Technology,consentmanager.net,n/a,,,,,,,,,,op-marburg.de,News
goslarsche.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,ostsee-zeitung.de,News
gpsradler.de,germany,Computers & Technology,devowl.io GmbH,n/a,,,,,,,,,,over-blog-kiwi.com,Personal Sites
gutefrage.net,germany,Forums & Newsgroups,consentmanager.net,contentpass,,,,,,,,,,over-blog.com,Personal Sites
gutekueche.at,austria,Search Engines & Portals,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,overblog.com,Personal Sites
gutekueche.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,paz-online.de,News
habe-ich-selbstgemacht.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,pc-magazin.de,Computers & Technology
hacerfamilia.com,spain,Leisure & Recreation,Traffective GmbH,freechoice,,,,,,,,,,pcgames.de,Entertainment
haemorrhoiden-wissen.de,germany,Health & Medicine,Traffective GmbH,freechoice,,,,,,,,,,pcwelt.de,Computers & Technology
hallo-eltern.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,peiner-nachrichten.de,Politics & Law
hallo-muenchen.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,personalwirtschaft.de,Shopping
haltbarkeit.net,switzerland,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,photovoltaik.eu,Business
hanauer.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,pianetamilan.it,Sports
hanser-automotive.de,germany,Business,OneTrust LLC,contentpass,,,,,,,,,,plantopedia.de,Education
harpersbazaar.de,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,pnn.de,News
hartz4rechner24.de,germany,Computers & Technology,Traffective GmbH,freechoice,,,,,,,,,,prad.de,Computers & Technology
harzkurier.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,praxisvita.de,Health & Medicine
haus-garten-test.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,prisma.de,Computers & Technology
hausbau-forum.de,germany,Personal Sites,consentmanager.net,n/a,,,,,,,,,,process-worldwide.com,Non-profits & NGOs
hausgarten.net,germany,Leisure & Recreation,consentmanager.net,contentpass,,,,,,,,,,process.vogel.de,Health & Medicine
haz.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,profi-werkstatt.net,News
hbold.dk,denmark,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,programme-tv.net,Streaming Media & Downloads
healthcare-digital.de,germany,Health & Medicine,consentmanager.net,contentpass,,,,,,,,,,programme.tv,News
heftig.de,germany,Streaming Media & Downloads,consentmanager.net,contentpass,,,,,,,,,,promiflash.de,Entertainment
heidelberg24.de,germany,Business,Traffective GmbH,freechoice,,,,,,,,,,promobil.de,General
heilpraxisnet.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,purebreak.com,Entertainment
heimatsport.de,germany,Sports,Traffective GmbH,freechoice,,,,,,,,,,purepeople.com,Leisure & Recreation
heise.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,puretrend.com,Entertainment
hersfelder-zeitung.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,qz-online.de,Business
hildesheimer-allgemeine.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,radiobielefeld.de,Entertainment
himmlisch-plaudern.at,austria,Religion,consentmanager.net,contentpass,,,,,,,,,,radioguetersloh.de,Entertainment
himmlisch-plaudern.ch,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,radiohochstift.de,Entertainment
himmlisch-plaudern.de,germany,Religion,consentmanager.net,contentpass,,,,,,,,,,radiolippe.de,Streaming Media & Downloads
hlk.co.at,austria,n/a,consentmanager.net,contentpass,,,,,,,,,,radsport-news.com,Sports
hna.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,raspberry-pi-geek.de,Business
hob-magazin.com,germany,Shopping,consentmanager.net,contentpass,,,,,,,,,,reisefrage.net,Travel
hobbyconsolas.com,spain,Leisure & Recreation,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,rennrad-news.de,Sports
hochzeit.net,germany,Computers & Technology,Traffective GmbH,n/a,,,,,,,,,,repubblica.it,News
hochzeitsforum.org,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,rheinpfalz.de,News
hockeymagasinet.dk,denmark,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,rnd.de,News
hoerzu.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,roadbike.de,Sports
hola.com,spain,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,rp-online.de,News
honeymoments.de,germany,Business,Traffective GmbH,freechoice,,,,,,,,,,runnersworld.de,Sports
hortica.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,saechsische.de,News
huehner-haltung.de,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,sbz-monteur.de,Education
huehner-hof.com,germany,Computers & Technology,Papoo Software & Media GmbH,contentpass,,,,,,,,,,sbz-online.de,Business
huehner-ratgeber.de,germany,Personal Sites,Papoo Software & Media GmbH,contentpass,,,,,,,,,,schifffahrtundtechnik.de,Business
huehnerhaltung.org,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,schoener-wohnen.de,Shopping
huelva24.com,spain,Business,Didomi,contentpass,,,,,,,,,,schulferien.org,Computers & Technology
huffingtonpost.es,united states,News,Didomi,contentpass,,,,,,,,,,sciencesetavenir.fr,News
huffingtonpost.fr,france,News,Société Éditrice du Monde,n/a,,,,,,,,,,security-insider.de,Computers & Technology
huffingtonpost.it,italy,n/a,iubenda,n/a,,,,,,,,,,selbst.de,Personal Sites
iban-rechner.de,germany,Finance,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,selfies.com,Entertainment
ibancalculator.com,iceland,Finance,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,siegener-zeitung.de,News
ich-lebe-vegan.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,smart-rechner.de,Computers & Technology
ihr-wellness-magazin.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,smarterworld.de,Business
ilclubdellericette.it,italy,n/a,iubenda,n/a,,,,,,,,,,smarthouse-pro.de,Personal Sites
ilmilanista.it,italy,Sports,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,sn-online.de,News
ilsecoloxix.it,italy,News,iubenda,n/a,,,,,,,,,,solidbau.at,Business
ilsole24ore.com,italy,News,OneTrust LLC,n/a,,,,,,,,,,spiegel.de,News
immo.infranken.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,spiegel.tv,General
immomorgen.de,germany,Real Estate,consentmanager.net,contentpass,,,,,,,,,,spielaffe.de,Games
impulse.de,germany,Business,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,spieletipps.de,Games
ind-ai.net,germany,Business,consentmanager.net,contentpass,,,,,,,,,,spielfilm.de,Entertainment
industrial-communication-journal.net,germany,Shopping,consentmanager.net,contentpass,,,,,,,,,,spon.de,News
industrial-production.de,germany,News,consentmanager.net,n/a,,,,,,,,,,sportlerfrage.net,Sports
industriemagazin.at,austria,News,consentmanager.net,contentpass,,,,,,,,,,sportnews.bz,Sports
industry-of-things.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,springermedizin.at,Health & Medicine
inflationsrechner24.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,springermedizin.de,Health & Medicine
infranken.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,springerpflege.de,Health & Medicine
ingame.de,germany,Games,Traffective GmbH,freechoice,,,,,,,,,,springerprofessional.de,Business
ingolstadt-today.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,sprit-plus.de,Computers & Technology
innsalzach24.de,germany,Entertainment,Traffective GmbH,freechoice,,,,,,,,,,stadionwelt.de,Sports
inrlp.de,germany,Personal Sites,consentmanager.net,contentpass,,,,,,,,,,stern.de,News
inside-digital.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,stimme.de,News
insidebw.de,germany,Unknown,Papoo Software & Media GmbH,contentpass,,,,,,,,,,stol.it,News
insideevs.de,germany,n/a,OneTrust LLC,contentpass,,,,,,,,,,storage-insider.de,Computers & Technology
instyle.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,stylevamp.de,Business
invdays.com,germany,Business,consentmanager.net,contentpass,,,,,,,,,,sudoku-aktuell.de,Leisure & Recreation
invision-news.com,germany,Business,consentmanager.net,contentpass,,,,,,,,,,sudoku-topical.com,Business
invision-news.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,sudouest.fr,News
iodonna.it,italy,News,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,supermadame.org,Personal Sites
iot-design.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,swp.de,News
ip-insider.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,sz-online.de,News
iphone-tricks.com,germany,Computers & Technology,Traffective GmbH,n/a,,,,,,,,,,t-online.de,Search Engines & Portals
iphone-tricks.de,germany,Computers & Technology,Traffective GmbH,freechoice,,,,,,,,,,t3n.de,Computers & Technology
it-business.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,tageblatt.de,News
it-daily.net,germany,n/a,OneTrust LLC,contentpass,,,,,,,,,,tagesspiegel.de,News
itasportpress.it,italy,Sports,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,techniker-forum.de,Forums & Newsgroups
itsintv.de,germany,Entertainment,Traffective GmbH,freechoice,,,,,,,,,,teltarif.de,Computers & Technology
jeuxvideo.com,france,Forums & Newsgroups,Didomi,n/a,,,,,,,,,,terrafemina.com,News
jornadaperfecta.com,spain,Sports,Traffective GmbH,freechoice,,,,,,,,,,teslamag.de,Transportation
juraforum.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,tga.at,Business
juvenews.eu,italy,Sports,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,thueringen24.de,News
jux.news,germany,Instant Messaging,Traffective GmbH,freechoice,,,,,,,,,,tierfans.net,Shopping
kalender-365.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,tomaten.de,Shopping
kalender-oesterreich.at,austria,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,tonline.de,Search Engines & Portals
kalender-online.com,germany,Parked Domains,Papoo Software & Media GmbH,contentpass,,,,,,,,,,traktuell.at,Computers & Technology
kaninchen-haltung.com,germany,Shopping,Papoo Software & Media GmbH,contentpass,,,,,,,,,,transferxl.com,Personal Storage
kartenlegen-sofort.de,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,trucker.de,Forums & Newsgroups
kem.industrie.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,tuttobolognaweb.it,Sports
kicker.de,germany,n/a,Usercentrics.com,n/a,,,,,,,,,,tvdigital.de,Entertainment
kinderzuschlagrechner24.de,germany,Finance,Traffective GmbH,freechoice,,,,,,,,,,tvdirekt.de,Entertainment
kino.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,tvmovie.de,Entertainment
klack.de,germany,Entertainment,consentmanager.net,contentpass,,,,,,,,,,unnuetzes.com,Entertainment
kn-online.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,unsere-helden.com,Computers & Technology
korrekturen.de,germany,Education,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,unterwegs-auf-der-autobahn.de,Computers & Technology
kreis-anzeiger.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,urbia.de,Health & Medicine
kreisbote.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,utopia.de,Leisure & Recreation
kreiszeitung.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,verkehrsrundschau.de,News
kreuzwortraetsel.de,germany,Games,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,versicherungsmagazin.de,Finance
krone.at,austria,News,Didomi,n/a,,,,,,,,,,vienna.at,News
ksta.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,violanews.com,Sports
kuechengoetter.de,germany,Restaurants & Dining,consentmanager.net,n/a,,,,,,,,,,vision-mobility.de,Computers & Technology
kundendienst-info.de,germany,Business,Traffective GmbH,freechoice,,,,,,,,,,voici.fr,Entertainment
kunststoff-magazin.de,germany,Business,consentmanager.net,n/a,,,,,,,,,,vol.at,News
kunststoffe.de,germany,Business,OneTrust LLC,contentpass,,,,,,,,,,volksstimme.de,News
kurier.at,austria,News,Didomi,n/a,,,,,,,,,,vorname.com,Leisure & Recreation
kurierverlag.de,germany,Shopping,Traffective GmbH,freechoice,,,,,,,,,,wallstreet-online.de,Finance
lab-worldwide.com,germany,Business,consentmanager.net,contentpass,,,,,,,,,,watson.de,News
labo.de,germany,Business,consentmanager.net,n/a,,,,,,,,,,waz-online.de,News
laborpraxis.vogel.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,we-go-wild.com,General
lachainemeteo.com,france,News,AppConsent by SFBX®,n/a,,,,,,,,,,weihnachtsmarkt-deutschland.de,Business
lagacetadesalamanca.es,eu #country is really world wide,News,Didomi,contentpass,,,,,,,,,,welt.de,News
landeszeitung.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,werkstatt-betrieb.de,Business
landtiere.de,germany,Leisure & Recreation,Traffective GmbH,freechoice,,,,,,,,,,werstreamt.es,Entertainment
lastampa.it,italy,News,iubenda,n/a,,,,,,,,,,wetter.com,News
lauterbacher-anzeiger.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,wetter.info,News
lavanguardia.com,spain,News,Didomi,n/a,,,,,,,,,,wiesbadener-kurier.de,Search Engines & Portals
lavozdigital.es,eu #country is really world wide,News,Didomi,contentpass,,,,,,,,,,winfuture.de,Computers & Technology
le10sport.com,france,Sports,Didomi,n/a,,,,,,,,,,winload.de,File Repository
lebenindeutschland.eu,antigua and barbuda,Government,Traffective GmbH,freechoice,,,,,,,,,,wir-in-der-praxis.de,Computers & Technology
leblogtvnews.com,france,Personal Sites,Didomi,n/a,,,,,,,,,,wirtschaftslexikon.gabler.de,Business
lecker.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,wohnmobilforum.de,Sports
leckerschmecker.me,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,womenshealth.de,Health & Medicine
leinetal24.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,wormser-zeitung.de,Search Engines & Portals
leistungselektronik.de,germany,Health & Medicine,consentmanager.net,contentpass,,,,,,,,,,wunderbunt.de,Leisure & Recreation
lemonde.fr,france,News,Société Éditrice du Monde,n/a,,,,,,,,,,wunderweib.de,Leisure & Recreation
leo.org,germany,n/a,OneTrust LLC,n/a,,,,,,,,,,ze.tt,News
leonoticias.com,spain,News,Didomi,contentpass,,,,,,,,,,zeit.de,News
lepoint.fr,france,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,zuhause.de,Business
lequipe.fr,france,Sports,Didomi,n/a,,,,,,,,,,,
lernhelfer.de,germany,Education,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
lezappingdupaf.com,france,Entertainment,Didomi,n/a,,,,,,,,,,,
liberation.fr,france,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
liebenswert-magazin.de,germany,Health & Medicine,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
liebeskosmos.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
likehifi.de,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
linux-community.de,germany,Forums & Newsgroups,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
linux-magazin.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
livingathome.de,germany,Shopping,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
ln-online.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
logistics-day.de,germany,Unknown,consentmanager.net,contentpass,,,,,,,,,,,
logistik-heute.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
logistra.de,germany,Shopping,consentmanager.net,contentpass,,,,,,,,,,,
lonelyplanet.de,germany,Travel,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
los40.com,spain,Streaming Media & Downloads,Didomi,contentpass,,,,,,,,,,,
loving-travel.com,germany,Shopping,Traffective GmbH,freechoice,,,,,,,,,,,
lovingnewyork.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
lr-online.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
ludwigshafen24.de,germany,Sports,Traffective GmbH,freechoice,,,,,,,,,,,
lvz.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
macwelt.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
maennersache.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
maennerseite.net,germany,Business,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
magen-darm-ratgeber.de,germany,Health & Medicine,Traffective GmbH,freechoice,,,,,,,,,,,
mainpost.de,germany,News,Usercentrics.com,n/a,,,,,,,,,,,
malvorlagen-bilder.de,germany,n/a,consentmanager.net,n/a,,,,,,,,,,,
malvorlagen-weihnachten.de,germany,Finance,consentmanager.net,n/a,,,,,,,,,,,
mami-ratgeber.de,germany,Sex Education,Traffective GmbH,freechoice,,,,,,,,,,,
manager-magazin.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
mandala-bilder.de,germany,File Repository,consentmanager.net,n/a,,,,,,,,,,,
mangfall24.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
mannheim24.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
marconomy.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,,
marcopolo.de,germany,Travel,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
markt.de,germany,Shopping,Traffective GmbH,freechoice,,,,,,,,,,,
maschinenmarkt.ch,switzerland,n/a,consentmanager.net,contentpass,,,,,,,,,,,
maschinenmarkt.international,germany,Business,consentmanager.net,contentpass,,,,,,,,,,,
maschinenmarkt.vogel.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,,
materialfluss.de,germany,Business,consentmanager.net,n/a,,,,,,,,,,,
maz-online.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
me-magazin.com,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
medienportal-grimma.de,germany,Shopping,consentmanager.net,contentpass,,,,,,,,,,,
meine-anzeigenzeitung.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
meineorte.com,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
menshealth.de,germany,Health & Medicine,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
merkur.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
milanofinanza.it,italy,News,ALZ Software Ltd (trading as Clickio),n/a,,,,,,,,,,,
millenium.org,france,Forums & Newsgroups,Didomi,n/a,,,,,,,,,,,
mittelbayerische-stellen.de,germany,Shopping,Traffective GmbH,freechoice,,,,,,,,,,,
mittelbayerische-trauer.de,germany,Shopping,Traffective GmbH,freechoice,,,,,,,,,,,
mittelbayerische.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
mittelhessen.de,germany,News,consentmanager.net,n/a,,,,,,,,,,,
mm-logistik.vogel.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,,
moin.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,,
mondeomk3.de,germany,Transportation,Traffective GmbH,freechoice,,,,,,,,,,,
mondoudinese.it,italy,n/a,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,,
mopo.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
mopop.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
morgenpost.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
motor.elpais.com,spain,News,Didomi,contentpass,,,,,,,,,,,
motorpasion.com,iceland,Transportation,Didomi,contentpass,,,,,,,,,,,
motorpasion.com.mx,iceland,n/a,Didomi,contentpass,,,,,,,,,,,
motorpasionmoto.com,spain,n/a,Didomi,contentpass,,,,,,,,,,,
motorradfrage.net,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
motorradonline.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
motorradundreisen.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
motorsport-total.com,germany,n/a,OneTrust LLC,contentpass,,,,,,,,,,,
movilzona.es,united states,Computers & Technology,Didomi,n/a,,,,,,,,,,,
moz.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
mtb-news.de,germany,Sports,OneTrust LLC,contentpass,,,,,,,,,,,
mujerhoy.com,united states,Fashion & Beauty,Didomi,contentpass,,,,,,,,,,,
mummum.dk,denmark,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
mundodeportivo.com,spain,News,Didomi,n/a,,,,,,,,,,,
mundoprimaria.com,united states,Education,Traffective GmbH,freechoice,,,,,,,,,,,
mutter-kind-gesundheit.de,germany,Shopping,Traffective GmbH,freechoice,,,,,,,,,,,
myhomebook.de,germany,n/a,Axel Springer Deutschland GmbH,n/a,,,,,,,,,,,
mz-web.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
nagerkaefig.net,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
nasen-ratgeber.de,germany,Health & Medicine,Traffective GmbH,freechoice,,,,,,,,,,,
neonmag.fr,france,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
netzwelt.de,germany,Computers & Technology,OneTrust LLC,contentpass,,,,,,,,,,,
neuepresse.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
news.bayern,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
news38.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
newsflash24.de,germany,General,Traffective GmbH,freechoice,,,,,,,,,,,
next-mobility.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
nextg.tv,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
nimms-rad.de,germany,Search Engines & Portals,OneTrust LLC,contentpass,,,,,,,,,,,
nn.de,germany,n/a,consentmanager.net,n/a,,,,,,,,,,,
nord24.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
nordbayern.de,germany,News,consentmanager.net,n/a,,,,,,,,,,,
notimerica.com,spain,News,Traffective GmbH,freechoice,,,,,,,,,,,
nrz.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
nwzonline.de,germany,News,consentmanager.net,n/a,,,,,,,,,,,
oberhessische-zeitung.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
oekotest.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
oggi.it,italy,News,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,,
ohmymag.com,france,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
oktoberfest.bayern,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
omnibusrevue.de,germany,n/a,Usercentrics.com,contentpass,,,,,,,,,,,
onlinehaendler-news.de,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
