websites,country,category,cmp,smp
calcionapoli1926.it,italy,Sports,RCS MediaGroup S.p.A.,n/a
calcolareonline.eu,germany,Games,Traffective GmbH,freechoice
caminteresse.fr,france,News,"Sourcepoint Technologies, Inc.",n/a
canarias7.es,eu # country is really world wide,News,Didomi,contentpass
capital.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
capital.fr,france,n/a,"Sourcepoint Technologies, Inc.",n/a
cavallo.de,germany,Business,"Sourcepoint Technologies, Inc.",n/a
cesoirtv.com,france,Entertainment,"Sourcepoint Technologies, Inc.",n/a
chartsinfrance.net,france,Entertainment,Didomi,n/a
checkpoint-golf.com,germany,Business,consentmanager.net,contentpass
chiemgau24.de,germany,News,Traffective GmbH,freechoice
christliche-partnersuche.de,germany,Shopping,consentmanager.net,contentpass
cittaceleste.it,italy,Sports,RCS MediaGroup S.p.A.,n/a
clima.com,redacted for privacy,Education,Didomi,contentpass
climadobrasil.com.br,brazil,Travel,Didomi,n/a
cloudcomputing-insider.de,germany,n/a,consentmanager.net,contentpass
cocoymaya.com,iceland,n/a,Didomi,contentpass
come-on-fc.com,germany,Unknown,Traffective GmbH,freechoice
come-on.de,germany,Search Engines & Portals,Traffective GmbH,freechoice
computer-automation.de,germany,n/a,consentmanager.net,contentpass
computerbase.de,germany,Computers & Technology,OneTrust LLC,n/a
computerbild.de,germany,Computers & Technology,Axel Springer Deutschland GmbH,n/a
computerfrage.net,germany,n/a,consentmanager.net,contentpass
computerhoy.com,spain,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass
connect-living.de,germany,n/a,consentmanager.net,contentpass
connect-professional.de,germany,Computers & Technology,consentmanager.net,contentpass
connect.de,germany,Computers & Technology,consentmanager.net,contentpass
cooknsoul.de,germany,Travel,Traffective GmbH,freechoice
corriere.it,italy,News,RCS MediaGroup S.p.A.,n/a
cosmopolitan.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a
costanachrichten.com,spain,n/a,Traffective GmbH,freechoice
das-pta-magazin.de,germany,n/a,OneTrust LLC,contentpass
dasgelbeblatt.de,germany,n/a,Traffective GmbH,freechoice
datacenter-insider.de,germany,Computers & Technology,consentmanager.net,contentpass
decine21.com,spain,Entertainment,Traffective GmbH,freechoice
deichstube.de,germany,n/a,Traffective GmbH,freechoice
der-maschinenbau.de,germany,Computers & Technology,consentmanager.net,contentpass
derbyderbyderby.it,italy,Sports,RCS MediaGroup S.p.A.,n/a
derstandard.at,austria,News,"Sourcepoint Technologies, Inc.",n/a
derstandard.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
derwesten.de,germany,News,consentmanager.net,contentpass
desired.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
deutsche-apotheker-zeitung.de,germany,n/a,consentmanager.net,n/a
deutsche-startups.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass
deutschland-in-zahlen.de,germany,n/a,Traffective GmbH,n/a
dev-insider.de,germany,Computers & Technology,consentmanager.net,contentpass
devicemed.de,germany,Business,consentmanager.net,contentpass
dhf-magazin.com,germany,Travel,consentmanager.net,contentpass
diariodelviajero.com,spain,Travel,Didomi,contentpass
dieblaue24.com,germany,Business,Traffective GmbH,freechoice
dieharke.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
diestandard.at,austria,News,"Sourcepoint Technologies, Inc.",n/a
digital-engineering-magazin.de,germany,n/a,consentmanager.net,contentpass
digital-health-industry.de,germany,Health & Medicine,consentmanager.net,contentpass
digital-manufacturing-magazin.de,germany,n/a,consentmanager.net,contentpass
digital-process-industry.de,germany,News,consentmanager.net,contentpass
digitalbusiness-cloud.de,germany,n/a,consentmanager.net,contentpass
digitalfernsehen.de,germany,News,"Sourcepoint Technologies, Inc.",contentpass
dima-magazin.com,germany,Business,consentmanager.net,contentpass
dispo.cc,france,Computers & Technology,consentmanager.net,contentpass
dnn.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
dogondo.de,germany,Unknown,consentmanager.net,contentpass
doktordarm.de,germany,n/a,Traffective GmbH,freechoice
donau-ries-aktuell.de,germany,News,Traffective GmbH,freechoice
donaukurier.de,germany,News,Traffective GmbH,freechoice
donnerwetter.de,germany,News,consentmanager.net,n/a
duden.de,germany,Education,"Sourcepoint Technologies, Inc.",n/a
dumontreise.de,germany,Travel,"Sourcepoint Technologies, Inc.",contentpass
e-automobile.info,germany,n/a,Traffective GmbH,freechoice
e-commerce-magazin.de,germany,n/a,consentmanager.net,contentpass
easyvoyage.com,france,n/a,Didomi,n/a
eat.de,germany,Computers & Technology,consentmanager.net,contentpass
eatsmarter.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",n/a
ebike-news.de,germany,News,Papoo Software & Media GmbH,contentpass
echo-online.de,germany,News,consentmanager.net,n/a
echo24.de,germany,News,Traffective GmbH,freechoice
echtemamas.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a
ecomento.de,germany,Transportation,"Sourcepoint Technologies, Inc.",contentpass
egovernment.de,germany,Non-profits & NGOs,consentmanager.net,contentpass
einbuergerung.at,austria,Education,Traffective GmbH,freechoice
einbuergerungstest-online.de,germany,n/a,Traffective GmbH,freechoice
einbuergerungstest-online.eu,antigua and barbuda,n/a,Traffective GmbH,freechoice
einfachschoen.me,germany,n/a,consentmanager.net,contentpass
eklablog.com,france,n/a,Didomi,n/a
elbierzonoticias.com,spain,Business,Didomi,contentpass
elblogsalmon.com,iceland,Politics & Law,Didomi,contentpass
elektroauto-news.net,germany,Transportation,Papoo Software & Media GmbH,contentpass
elektroniknet.de,germany,Business,consentmanager.net,contentpass
elektronikpraxis.de,germany,News,consentmanager.net,contentpass
elektropraxis.at,austria,n/a,consentmanager.net,contentpass
elektrotechnik.vogel.de,germany,Business,consentmanager.net,contentpass
elle.de,germany,News,"Sourcepoint Technologies, Inc.",contentpass
ellviva.de,germany,n/a,Traffective GmbH,freechoice
elpais.com,spain,News,Didomi,n/a
eltern.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a
elterngeld.de,germany,Search Engines & Portals,Traffective GmbH,freechoice
eltiempo.es,eu #country is really world wide,News,Didomi,contentpass
embedded-software-engineering.de,germany,Computers & Technology,consentmanager.net,contentpass
emprendedores.es,eu #country is really world wide,News,consentmanager.net,contentpass
emtb-news.de,germany,News,OneTrust LLC,contentpass
en.kunststoffe.de,germany,Business,OneTrust LLC,contentpass
entsorgen.org,switzerland,n/a,"Sourcepoint Technologies, Inc.",contentpass
entspannte-wechseljahre.de,germany,Computers & Technology,Traffective GmbH,freechoice
erkaeltung-abwehren.de,germany,Computers & Technology,Traffective GmbH,freechoice
erkaeltung-online.de,germany,n/a,Traffective GmbH,freechoice
erklaer-es-oma.de,germany,Education,consentmanager.net,contentpass
erneuerbareenergien.de,germany,Business,"Sourcepoint Technologies, Inc.",n/a
esports.com,germany,Sports,Seven.One Entertainment Group GmbH,contentpass
esquire.de,germany,Business,"Sourcepoint Technologies, Inc.",contentpass
essen-und-trinken.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",n/a
etfrechner24.de,germany,n/a,Traffective GmbH,freechoice
etmm-online.com,germany,n/a,consentmanager.net,contentpass
eurogamer.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
europamester.dk,denmark,n/a,"Sourcepoint Technologies, Inc.",n/a
eventfinder.de,germany,Computers & Technology,Traffective GmbH,freechoice
express.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
extratipp.com,germany,News,Traffective GmbH,freechoice
extreme.pcgameshardware.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
factorynet.at,austria,n/a,consentmanager.net,contentpass
fahrschule-online.de,germany,Transportation,Usercentrics.com,contentpass
falk.de,germany,Education,"Sourcepoint Technologies, Inc.",contentpass
familie.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
faszination-fankurve.de,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass
faz.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
fcbinside.de,germany,Sports,Traffective GmbH,freechoice
fcinter1908.it,italy,Sports,RCS MediaGroup S.p.A.,n/a
fehmarn24.de,germany,News,Traffective GmbH,freechoice
feiertage-deutschland.de,germany,n/a,Papoo Software & Media GmbH,contentpass
feiertage-ferien.ch,switzerland,n/a,Papoo Software & Media GmbH,n/a
feiertage-oesterreich.at,austria,n/a,Papoo Software & Media GmbH,contentpass
femmeactuelle.fr,france,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a
fernsehserien.de,germany,n/a,consentmanager.net,contentpass
filext.com,united states,Computers & Technology,"Sourcepoint Technologies, Inc.",n/a
finance-magazin.de,germany,n/a,n/a,n/a
finanzfrage.net,germany,n/a,consentmanager.net,contentpass
finanzmarktwelt.de,germany,News,Cookiebot,n/a
firmenwagen.co.at,austria,Computers & Technology,consentmanager.net,contentpass
fitbook.de,germany,n/a,Axel Springer Deutschland GmbH,n/a
fitundleicht.de,germany,n/a,Traffective GmbH,freechoice
flugrevue.de,germany,Travel,"Sourcepoint Technologies, Inc.",n/a
fnp.de,germany,News,Traffective GmbH,freechoice
forellenteich-angeln.com,germany,n/a,Papoo Software & Media GmbH,contentpass
form-werkzeug.de,germany,Business,OneTrust LLC,contentpass
formel1.de,germany,Sports,OneTrust LLC,contentpass
forzaroma.info,italy,News,RCS MediaGroup S.p.A.,n/a
fr.de,germany,News,Traffective GmbH,freechoice
fraenkische-rezepte.de,germany,Restaurants & Dining,consentmanager.net,contentpass
free-fonts.com,united states,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass
freenet.de,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass
freundin.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",contentpass
fuehrerscheintest-online.de,germany,n/a,Traffective GmbH,freechoice
fuldaerzeitung.de,germany,News,Traffective GmbH,freechoice
funandnews.de,germany,News,"Sourcepoint Technologies, Inc.",contentpass
fussball-nachrichten.de,germany,News,Traffective GmbH,freechoice
fussball.news,germany,n/a,Traffective GmbH,freechoice
fussballeuropa.com,germany,Sports,Traffective GmbH,freechoice
fussballfieber.de,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass
futurezone.de,germany,n/a,consentmanager.net,contentpass
gabler-banklexikon.de,germany,Education,OneTrust LLC,contentpass
gala.de,germany,Fashion & Beauty,"Sourcepoint Technologies, Inc.",n/a
gala.fr,france,Entertainment,"Sourcepoint Technologies, Inc.",n/a
gamestar.de,germany,Games,Didomi,n/a
garten-wissen.com,germany,Computers & Technology,Papoo Software & Media GmbH,contentpass
gartendialog.de,germany,Computers & Technology,consentmanager.net,contentpass
gartenjournal.net,germany,Personal Sites,"Sourcepoint Technologies, Inc.",contentpass
gartenlexikon.de,germany,n/a,consentmanager.net,contentpass
gartenteich-ratgeber.com,germany,n/a,Papoo Software & Media GmbH,contentpass
gastromand.dk,denmark,n/a,Didomi,n/a
gazzetta.it,italy,n/a,RCS MediaGroup S.p.A.,n/a
geb-info.de,germany,Business,"Sourcepoint Technologies, Inc.",n/a
gebaeudedigital.de,germany,Business,consentmanager.net,contentpass
genialetricks.de,germany,Entertainment,consentmanager.net,contentpass
gentside.com,france,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a
geo.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a
geo.fr,france,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a
gesund-verlieben.de,germany,Business,consentmanager.net,contentpass
gesundes-auge.de,germany,Health & Medicine,Traffective GmbH,freechoice
gesundheitsfrage.net,germany,n/a,consentmanager.net,contentpass
gewinn-portal.de,germany,Shopping,Traffective GmbH,freechoice
giessener-allgemeine.de,germany,News,Traffective GmbH,freechoice
giessener-anzeiger.de,germany,News,Traffective GmbH,freechoice
giga.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",n/a
gladbachlive.de,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass
glaswelt.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
